sentence,condition
선생님이 학생을 찾으셨다,HON.SUBJ+HON.V
선생님이 학생을 찾았다,HON.SUBJ+PLAIN.V
학생이 선생님을 찾으셨다,PLAIN.SUBJ+HON.V
학생이 선생님을 찾았다,PLAIN.SUBJ+PLAIN.V
선생님이 학생을 부르셨다,HON.SUBJ+HON.V
선생님이 학생을 불렀다,HON.SUBJ+PLAIN.V
학생이 선생님을 부르셨다,PLAIN.SUBJ+HON.V
학생이 선생님을 불렀다,PLAIN.SUBJ+PLAIN.V
선생님이 학생을 기다리셨다,HON.SUBJ+HON.V
선생님이 학생을 기다렸다,HON.SUBJ+PLAIN.V
학생이 선생님을 기다리셨다,PLAIN.SUBJ+HON.V
학생이 선생님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선생님이 학생을 만나셨다,HON.SUBJ+HON.V
선생님이 학생을 만났다,HON.SUBJ+PLAIN.V
학생이 선생님을 만나셨다,PLAIN.SUBJ+HON.V
학생이 선생님을 만났다,PLAIN.SUBJ+PLAIN.V
선생님이 학생을 칭찬하셨다,HON.SUBJ+HON.V
선생님이 학생을 칭찬했다,HON.SUBJ+PLAIN.V
학생이 선생님을 칭찬하셨다,PLAIN.SUBJ+HON.V
학생이 선생님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선생님이 학생을 도우셨다,HON.SUBJ+HON.V
선생님이 학생을 도왔다,HON.SUBJ+PLAIN.V
학생이 선생님을 도우셨다,PLAIN.SUBJ+HON.V
학생이 선생님을 도왔다,PLAIN.SUBJ+PLAIN.V
선생님이 제자를 찾으셨다,HON.SUBJ+HON.V
선생님이 제자를 찾았다,HON.SUBJ+PLAIN.V
제자가 선생님을 찾으셨다,PLAIN.SUBJ+HON.V
제자가 선생님을 찾았다,PLAIN.SUBJ+PLAIN.V
선생님이 제자를 부르셨다,HON.SUBJ+HON.V
선생님이 제자를 불렀다,HON.SUBJ+PLAIN.V
제자가 선생님을 부르셨다,PLAIN.SUBJ+HON.V
제자가 선생님을 불렀다,PLAIN.SUBJ+PLAIN.V
선생님이 제자를 기다리셨다,HON.SUBJ+HON.V
선생님이 제자를 기다렸다,HON.SUBJ+PLAIN.V
제자가 선생님을 기다리셨다,PLAIN.SUBJ+HON.V
제자가 선생님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선생님이 제자를 만나셨다,HON.SUBJ+HON.V
선생님이 제자를 만났다,HON.SUBJ+PLAIN.V
제자가 선생님을 만나셨다,PLAIN.SUBJ+HON.V
제자가 선생님을 만났다,PLAIN.SUBJ+PLAIN.V
선생님이 제자를 칭찬하셨다,HON.SUBJ+HON.V
선생님이 제자를 칭찬했다,HON.SUBJ+PLAIN.V
제자가 선생님을 칭찬하셨다,PLAIN.SUBJ+HON.V
제자가 선생님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선생님이 제자를 도우셨다,HON.SUBJ+HON.V
선생님이 제자를 도왔다,HON.SUBJ+PLAIN.V
제자가 선생님을 도우셨다,PLAIN.SUBJ+HON.V
제자가 선생님을 도왔다,PLAIN.SUBJ+PLAIN.V
선생님이 후배를 찾으셨다,HON.SUBJ+HON.V
선생님이 후배를 찾았다,HON.SUBJ+PLAIN.V
후배가 선생님을 찾으셨다,PLAIN.SUBJ+HON.V
후배가 선생님을 찾았다,PLAIN.SUBJ+PLAIN.V
선생님이 후배를 부르셨다,HON.SUBJ+HON.V
선생님이 후배를 불렀다,HON.SUBJ+PLAIN.V
후배가 선생님을 부르셨다,PLAIN.SUBJ+HON.V
후배가 선생님을 불렀다,PLAIN.SUBJ+PLAIN.V
선생님이 후배를 기다리셨다,HON.SUBJ+HON.V
선생님이 후배를 기다렸다,HON.SUBJ+PLAIN.V
후배가 선생님을 기다리셨다,PLAIN.SUBJ+HON.V
후배가 선생님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선생님이 후배를 만나셨다,HON.SUBJ+HON.V
선생님이 후배를 만났다,HON.SUBJ+PLAIN.V
후배가 선생님을 만나셨다,PLAIN.SUBJ+HON.V
후배가 선생님을 만났다,PLAIN.SUBJ+PLAIN.V
선생님이 후배를 칭찬하셨다,HON.SUBJ+HON.V
선생님이 후배를 칭찬했다,HON.SUBJ+PLAIN.V
후배가 선생님을 칭찬하셨다,PLAIN.SUBJ+HON.V
후배가 선생님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선생님이 후배를 도우셨다,HON.SUBJ+HON.V
선생님이 후배를 도왔다,HON.SUBJ+PLAIN.V
후배가 선생님을 도우셨다,PLAIN.SUBJ+HON.V
후배가 선생님을 도왔다,PLAIN.SUBJ+PLAIN.V
선생님이 아이를 찾으셨다,HON.SUBJ+HON.V
선생님이 아이를 찾았다,HON.SUBJ+PLAIN.V
아이가 선생님을 찾으셨다,PLAIN.SUBJ+HON.V
아이가 선생님을 찾았다,PLAIN.SUBJ+PLAIN.V
선생님이 아이를 부르셨다,HON.SUBJ+HON.V
선생님이 아이를 불렀다,HON.SUBJ+PLAIN.V
아이가 선생님을 부르셨다,PLAIN.SUBJ+HON.V
아이가 선생님을 불렀다,PLAIN.SUBJ+PLAIN.V
선생님이 아이를 기다리셨다,HON.SUBJ+HON.V
선생님이 아이를 기다렸다,HON.SUBJ+PLAIN.V
아이가 선생님을 기다리셨다,PLAIN.SUBJ+HON.V
아이가 선생님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선생님이 아이를 만나셨다,HON.SUBJ+HON.V
선생님이 아이를 만났다,HON.SUBJ+PLAIN.V
아이가 선생님을 만나셨다,PLAIN.SUBJ+HON.V
아이가 선생님을 만났다,PLAIN.SUBJ+PLAIN.V
선생님이 아이를 칭찬하셨다,HON.SUBJ+HON.V
선생님이 아이를 칭찬했다,HON.SUBJ+PLAIN.V
아이가 선생님을 칭찬하셨다,PLAIN.SUBJ+HON.V
