sentence,condition
선생님이 사과를 먹었다,NOM-ACC
선생님을 사과가 먹었다,ACC-NOM
선생님이 사과가 먹었다,NOM-NOM
선생님을 사과를 먹었다,ACC-ACC
선생님이 빵을 먹었다,NOM-ACC
선생님을 빵이 먹었다,ACC-NOM
선생님이 빵이 먹었다,NOM-NOM
선생님을 빵을 먹었다,ACC-ACC
선생님이 밥을 먹었다,NOM-ACC
선생님을 밥이 먹었다,ACC-NOM
선생님이 밥이 먹었다,NOM-NOM
선생님을 밥을 먹었다,ACC-ACC
선생님이 과자를 먹었다,NOM-ACC
선생님을 과자가 먹었다,ACC-NOM
선생님이 과자가 먹었다,NOM-NOM
선생님을 과자를 먹었다,ACC-ACC
아버지가 사과를 먹었다,NOM-ACC
아버지를 사과가 먹었다,ACC-NOM
아버지가 사과가 먹었다,NOM-NOM
아버지를 사과를 먹었다,ACC-ACC
아버지가 빵을 먹었다,NOM-ACC
아버지를 빵이 먹었다,ACC-NOM
아버지가 빵이 먹었다,NOM-NOM
아버지를 빵을 먹었다,ACC-ACC
아버지가 밥을 먹었다,NOM-ACC
아버지를 밥이 먹었다,ACC-NOM
아버지가 밥이 먹었다,NOM-NOM
아버지를 밥을 먹었다,ACC-ACC
아버지가 과자를 먹었다,NOM-ACC
아버지를 과자가 먹었다,ACC-NOM
아버지가 과자가 먹었다,NOM-NOM
아버지를 과자를 먹었다,ACC-ACC
학생이 사과를 먹었다,NOM-ACC
학생을 사과가 먹었다,ACC-NOM
학생이 사과가 먹었다,NOM-NOM
학생을 사과를 먹었다,ACC-ACC
학생이 빵을 먹었다,NOM-ACC
학생을 빵이 먹었다,ACC-NOM
학생이 빵이 먹었다,NOM-NOM
학생을 빵을 먹었다,ACC-ACC
학생이 밥을 먹었다,NOM-ACC
학생을 밥이 먹었다,ACC-NOM
학생이 밥이 먹었다,NOM-NOM
학생을 밥을 먹었다,ACC-ACC
학생이 과자를 먹었다,NOM-ACC
학생을 과자가 먹었다,ACC-NOM
학생이 과자가 먹었다,NOM-NOM
학생을 과자를 먹었다,ACC-ACC
아이가 사과를 먹었다,NOM-ACC
아이를 사과가 먹었다,ACC-NOM
아이가 사과가 먹었다,NOM-NOM
아이를 사과를 먹었다,ACC-ACC
아이가 빵을 먹었다,NOM-ACC
아이를 빵이 먹었다,ACC-NOM
아이가 빵이 먹었다,NOM-NOM
아이를 빵을 먹었다,ACC-ACC
아이가 밥을 먹었다,NOM-ACC
아이를 밥이 먹었다,ACC-NOM
아이가 밥이 먹었다,NOM-NOM
아이를 밥을 먹었다,ACC-ACC
아이가 과자를 먹었다,NOM-ACC
아이를 과자가 먹었다,ACC-NOM
아이가 과자가 먹었다,NOM-NOM
아이를 과자를 먹었다,ACC-ACC
선생님이 책을 읽었다,NOM-ACC
선생님을 책이 읽었다,ACC-NOM
선생님이 책이 읽었다,NOM-NOM
선생님을 책을 읽었다,ACC-ACC
선생님이 신문을 읽었다,NOM-ACC
선생님을 신문이 읽었다,ACC-NOM
선생님이 신문이 읽었다,NOM-NOM
선생님을 신문을 읽었다,ACC-ACC
선생님이 소설을 읽었다,NOM-ACC
선생님을 소설이 읽었다,ACC-NOM
선생님이 소설이 읽었다,NOM-NOM
선생님을 소설을 읽었다,ACC-ACC
선생님이 잡지를 읽었다,NOM-ACC
선생님을 잡지가 읽었다,ACC-NOM
선생님이 잡지가 읽었다,NOM-NOM
선생님을 잡지를 읽었다,ACC-ACC
아버지가 책을 읽었다,NOM-ACC
아버지를 책이 읽었다,ACC-NOM
아버지가 책이 읽었다,NOM-NOM
아버지를 책을 읽었다,ACC-ACC
아버지가 신문을 읽었다,NOM-ACC
아버지를 신문이 읽었다,ACC-NOM
아버지가 신문이 읽었다,NOM-NOM
아버지를 신문을 읽었다,ACC-ACC
아버지가 소설을 읽었다,NOM-ACC
아버지를 소설이 읽었다,ACC-NOM
아버지가 소설이 읽었다,NOM-NOM
아버지를 소설을 읽었다,ACC-ACC
아버지가 잡지를 읽었다,NOM-ACC
아버지를 잡지가 읽었다,ACC-NOM
아버지가 잡지가 읽었다,NOM-NOM
아버지를 잡지를 읽었다,ACC-ACC
학생이 책을 읽었다,NOM-ACC
학생을 책이 읽었다,ACC-NOM
학생이 책이 읽었다,NOM-NOM
학생을 책을 읽었다,ACC-ACC
학생이 신문을 읽었다,NOM-ACC
학생을 신문이 읽었다,ACC-NOM
학생이 신문이 읽었다,NOM-NOM
학생을 신문을 읽었다,ACC-ACC
학생이 소설을 읽었다,NOM-ACC
